time,source_month,S0_mean,Sg_mean,S0_mean_anom,Sg_mean_anom
2019-03-27,2019-03-01,0.05223240518315711,0.015488144167630202,0.013047051176067382,0.0033634715294699295
2019-04-08,2019-04-01,0.036885911544076354,0.007484128937127224,-0.0022994424630133725,-0.004640543701033047
2019-04-20,2019-04-01,0.036885911544076354,0.007484128937127224,-0.0022994424630133725,-0.004640543701033047
2019-05-02,2019-05-01,0.024319662737053882,0.006053416986282772,-0.014865691270035838,-0.0060712556518775
2019-05-14,2019-05-01,0.024319662737053882,0.006053416986282772,-0.014865691270035838,-0.0060712556518775
2019-05-26,2019-05-01,0.024319662737053882,0.006053416986282772,-0.014865691270035838,-0.0060712556518775
2019-06-07,2019-06-01,0.016296831145923146,0.005483437525410421,-0.022888522861166577,-0.0066412351127498525
2019-06-19,2019-06-01,0.016296831145923146,0.005483437525410421,-0.022888522861166577,-0.0066412351127498525
2019-07-01,2019-07-01,0.044965235259405746,0.00989094260147882,0.005779881252316021,-0.0022337300366814528
2019-07-13,2019-07-01,0.044965235259405746,0.00989094260147882,0.005779881252316021,-0.0022337300366814528
2019-07-25,2019-07-01,0.044965235259405746,0.00989094260147882,0.005779881252316021,-0.0022337300366814528
2019-08-06,2019-08-01,0.06716310355397953,0.040661143412381896,0.027977749546889814,0.028536470774221622
2019-08-18,2019-08-01,0.06716310355397953,0.040661143412381896,0.027977749546889814,0.028536470774221622
2019-08-30,2019-08-01,0.06716310355397953,0.040661143412381896,0.027977749546889814,0.028536470774221622
2019-09-11,2019-09-01,0.0602906189195992,0.03415560160113207,0.021105264912509476,0.02203092896297179
2019-09-23,2019-09-01,0.0602906189195992,0.03415560160113207,0.021105264912509476,0.02203092896297179
2019-10-05,2019-10-01,0.045017716249685175,0.018076404912698563,0.005832362242595458,0.00595173227453829
2019-10-17,2019-10-01,0.045017716249685175,0.018076404912698563,0.005832362242595458,0.00595173227453829
2019-10-29,2019-10-01,0.045017716249685175,0.018076404912698563,0.005832362242595458,0.00595173227453829
2019-11-10,2019-11-01,0.0399141557246214,0.010034023158841762,0.0007288017175316751,-0.002090649479318509
2019-11-22,2019-11-01,0.0399141557246214,0.010034023158841762,0.0007288017175316751,-0.002090649479318509
2019-12-04,2019-12-01,0.047298972928942355,0.00911167888726183,0.008113618921852639,-0.0030129937508984422
2019-12-16,2019-12-01,0.047298972928942355,0.00911167888726183,0.008113618921852639,-0.0030129937508984422
2019-12-28,2019-12-01,0.047298972928942355,0.00911167888726183,0.008113618921852639,-0.0030129937508984422
2020-01-09,2020-01-01,0.055840043872166435,0.009924833948453313,0.016654689865076712,-0.0021998386897069595
2020-01-21,2020-01-01,0.055840043872166435,0.009924833948453313,0.016654689865076712,-0.0021998386897069595
2020-02-02,2020-02-01,0.04984837862300646,0.00865659809019325,0.010663024615916733,-0.003468074547967021
2020-02-14,2020-02-01,0.04984837862300646,0.00865659809019325,0.010663024615916733,-0.003468074547967021
2020-02-26,2020-02-01,0.04984837862300646,0.00865659809019325,0.010663024615916733,-0.003468074547967021
2020-03-09,2020-03-01,0.05883083255385196,0.008985501482261526,0.019645478546762244,-0.003139171155898747
2020-03-21,2020-03-01,0.05883083255385196,0.008985501482261526,0.019645478546762244,-0.003139171155898747
2020-04-02,2020-04-01,0.04425158857287623,0.007878331506793032,0.0050662345657865055,-0.00424634113136724
2020-04-14,2020-04-01,0.04425158857287623,0.007878331506793032,0.0050662345657865055,-0.00424634113136724
2020-04-26,2020-04-01,0.04425158857287623,0.007878331506793032,0.0050662345657865055,-0.00424634113136724
2020-05-08,2020-05-01,0.030549501058352226,0.005878924364890443,-0.0086358529487375,-0.006245748273269829
2020-05-20,2020-05-01,0.030549501058352226,0.005878924364890443,-0.0086358529487375,-0.006245748273269829
2020-06-01,2020-06-01,0.03281614151820293,0.006310325223160413,-0.006369212488886795,-0.005814347414999858
2020-06-13,2020-06-01,0.03281614151820293,0.006310325223160413,-0.006369212488886795,-0.005814347414999858
2020-06-25,2020-06-01,0.03281614151820293,0.006310325223160413,-0.006369212488886795,-0.005814347414999858
2020-07-07,2020-07-01,0.04636804183501239,0.007967581745932149,0.007182687827922667,-0.0041570908922281226
2020-07-19,2020-07-01,0.04636804183501239,0.007967581745932149,0.007182687827922667,-0.0041570908922281226
2020-07-31,2020-07-01,0.04636804183501239,0.007967581745932149,0.007182687827922667,-0.0041570908922281226
2020-08-12,2020-08-01,0.06120742399635768,0.024530271729650815,0.022022069989267958,0.012405599091490542
2020-08-24,2020-08-01,0.06120742399635768,0.024530271729650815,0.022022069989267958,0.012405599091490542
2020-09-05,2020-09-01,0.06012318171461214,0.03435752124616493,0.020937827707522418,0.022232848608004657
2020-09-17,2020-09-01,0.06012318171461214,0.03435752124616493,0.020937827707522418,0.022232848608004657
2020-09-29,2020-09-01,0.06012318171461214,0.03435752124616493,0.020937827707522418,0.022232848608004657
2020-10-11,2020-10-01,0.03467815902817557,0.010996580012364114,-0.004507194978914152,-0.00112809262579616
2020-10-23,2020-10-01,0.03467815902817557,0.010996580012364114,-0.004507194978914152,-0.00112809262579616
2020-11-04,2020-11-01,0.0264330073038733,0.005026135764610696,-0.012752346703216424,-0.007098536873549576
2020-11-16,2020-11-01,0.0264330073038733,0.005026135764610696,-0.012752346703216424,-0.007098536873549576
2020-11-28,2020-11-01,0.0264330073038733,0.005026135764610696,-0.012752346703216424,-0.007098536873549576
2020-12-10,2020-12-01,0.03190792657179393,0.0043147642746050475,-0.007277427435295791,-0.007809908363555224
2020-12-22,2020-12-01,0.03190792657179393,0.0043147642746050475,-0.007277427435295791,-0.007809908363555224
2021-01-03,2021-01-01,0.03530309739083855,0.004046174384934681,-0.0038822566162511783,-0.008078498253225591
2021-01-15,2021-01-01,0.03530309739083855,0.004046174384934681,-0.0038822566162511783,-0.008078498253225591
