reach_id,time_str,river_name,p_lat,p_lon,wse,width,slope2,d_x_area,dschg_c,source_file,product,time
21500800074,2024-03-16T16:50:30Z,Fiume Arno,43.71763156,10.8700497,,54.181559,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500800094,2024-03-16T16:50:30Z,Fiume Arno,43.72897311,10.9212468,,40.229473,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500800154,2024-03-16T16:50:30Z,Fiume Arno,43.76627758,11.0424554,,34.630703,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500800114,2024-03-16T16:50:30Z,Fiume Arno,43.73395613,10.9629417,,32.195002,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500800121,2024-03-16T16:50:30Z,Fiume Arno,43.739528,10.9815185,20.438,18.140247,-0.0009749348,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500800134,2024-03-16T16:50:30Z,Fiume Arno,43.73552158,10.9998728,,22.916808,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500800141,2024-03-16T16:50:30Z,Fiume Arno,43.74768721,11.0244481,25.2916,14.864262,0.00090423631,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900244,2024-03-16T16:50:30Z,Serchio,43.91649583,10.529312,,176.410932,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500800161,2024-03-16T16:50:30Z,Fiume Arno,43.77826116,11.1119621,30.9304,3.732343,-0.0017755741,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900013,2024-03-16T16:50:30Z,Serchio,43.76238147,10.3226477,-1.4047,483.894996,-0.0006939921,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900041,2024-03-16T16:50:30Z,Serchio,43.8036516,10.4063306,-1.2392,353.18,0.00261894951,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500800101,2024-03-16T16:50:30Z,Fiume Arno,43.72609497,10.9424002,24.6968,13.151498,-0.005600414,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900261,2024-03-16T16:50:30Z,Serchio,43.92488448,10.5296092,40.8297,57.385677,0.0017645417,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900335,2024-03-16T16:50:30Z,Fiume Magra,44.07842653,9.9655885,-1.2435,180.858661,6.161415e-05,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900281,2024-03-16T16:50:30Z,Serchio,43.93088015,10.5087897,47.4071,60.344651,0.00316959064,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900064,2024-03-16T16:50:30Z,Fiume Magra,44.1080452,9.9369098,,152.101452,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900444,2024-03-16T16:50:30Z,Fiume Magra,44.17257832,9.9248018,,120.843117,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900434,2024-03-16T16:50:30Z,Fiume Magra,44.16995794,9.9183815,24.4342,45.501438,0.00515455097,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900425,2024-03-16T16:50:30Z,Fiume Magra,44.16616482,9.9066061,20.2128,85.918512,0.00287728167,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900414,2024-03-16T16:50:30Z,Fiume Magra,44.16226318,9.8974438,,47.045901,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900404,2024-03-16T16:50:30Z,Fiume Magra,44.15876878,9.8931723,15.9246,49.374875,0.00277894006,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900395,2024-03-16T16:50:30Z,Fiume Magra,44.15012927,9.8899941,12.462,125.619726,0.00208629598,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900384,2024-03-16T16:50:30Z,Fiume Magra,44.14283943,9.8981002,,166.516751,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900375,2024-03-16T16:50:30Z,Fiume Magra,44.13659356,9.9063001,7.9873,85.17458,0.00242634732,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900364,2024-03-16T16:50:30Z,Fiume Magra,44.13142931,9.9138465,,131.139617,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900355,2024-03-16T16:50:30Z,Fiume Magra,44.12143652,9.9276433,4.0589,108.249227,0.00111580844,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900344,2024-03-16T16:50:30Z,Fiume Magra,44.10398535,9.9379287,,138.529426,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900321,2024-03-16T16:50:30Z,Serchio,43.99085556,10.5533227,91.6533,80.741177,0.00085245661,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900314,2024-03-16T16:50:30Z,Serchio,43.98114573,10.5523043,,113.504445,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900301,2024-03-16T16:50:30Z,Serchio,43.96338733,10.5238839,68.0379,72.084753,0.00382774568,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900294,2024-03-16T16:50:30Z,Serchio,43.93982305,10.5015469,,81.069656,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900274,2024-03-16T16:50:30Z,Serchio,43.92529227,10.5218935,,82.500527,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900191,2024-03-16T16:50:30Z,Serchio,43.84327707,10.4415553,,61.826547,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900455,2024-03-16T16:50:31Z,Fiume Magra,44.1887648,9.9372759,36.6345,37.321879,0.00324514944,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:31+00:00
21406200021,2024-03-16T16:50:42Z,Fiume Oglio,45.12874321,10.5044278,20.41,84.275801,0.00019673843,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406500021,2024-03-16T16:50:42Z,Po,45.08313086,9.8584456,38.1764,288.311218,-9.0918e-05,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406100041,2024-03-16T16:50:42Z,Po,44.92732847,11.5407952,9.9594,443.341483,0.00017230113,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406100051,2024-03-16T16:50:42Z,Po,44.95362753,11.4200067,11.3335,437.116038,1.522866e-05,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406100061,2024-03-16T16:50:42Z,Po,45.00951862,11.3007475,10.9709,383.839288,7.481676e-05,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406100081,2024-03-16T16:50:42Z,Po,45.0526046,11.0864648,12.9742,445.164055,7.126381e-05,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406100091,2024-03-16T16:50:42Z,Fiume Mincio; Po,45.10017596,10.9113497,14.4538,43.203827,2.968031e-05,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406100101,2024-03-16T16:50:42Z,Po,45.06440534,10.9221059,14.3242,372.480348,0.00010389174,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406100111,2024-03-16T16:50:42Z,Po,45.04625504,10.768001,15.9911,266.108434,0.00015130361,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406500104,2024-03-16T16:50:42Z,Po,45.09264137,9.9046467,,103.587558,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406300021,2024-03-16T16:50:42Z,Po,44.92496107,10.6126319,,9.722734,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406200011,2024-03-16T16:50:42Z,Po,45.06313602,10.6021879,17.5086,97.35042,0.00021290434,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406300041,2024-03-16T16:50:42Z,Parma,44.96698609,10.4153531,21.982,294.088907,0.00011742282,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406300051,2024-03-16T16:50:42Z,Parma; Po,44.98238586,10.3257584,23.3146,271.45092,0.00012762695,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406300061,2024-03-16T16:50:42Z,Po,45.0255784,10.1966661,26.3936,234.594851,0.00025586102,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406300071,2024-03-16T16:50:42Z,Po,45.04383353,10.0629096,27.3262,259.789305,-8.08708e-05,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406300081,2024-03-16T16:50:42Z,Po,45.11338408,10.0010764,28.1674,231.800658,0.00011363531,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406300091,2024-03-16T16:50:42Z,Po,45.10509326,9.9334895,27.4992,127.059754,0.00023452416,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406300111,2024-03-16T16:50:42Z,Po,45.12967127,9.9212745,29.5215,154.969139,0.00018469851,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
21406500011,2024-03-16T16:50:42Z,Adda; Po,45.11288469,9.8866488,32.3079,161.355159,-0.0014406585,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:42+00:00
