time,n_pixels,soil_moisture_mean,soil_moisture_std,source_file
2018-01-11,0,,,SMAP_L3_SM_P_E_20180111_R19240_001.h5
2018-01-17,70,0.27279444911650247,0.02792973627183055,SMAP_L3_SM_P_E_20180117_R19240_001.h5
2018-01-23,86,0.25085849748101346,0.020820164184017345,SMAP_L3_SM_P_E_20180123_R19240_001.h5
2018-01-29,52,0.2213082923912085,0.010524453526152684,SMAP_L3_SM_P_E_20180129_R19240_001.h5
2018-02-04,0,,,SMAP_L3_SM_P_E_20180204_R19240_001.h5
2018-02-10,58,0.30275700986385345,0.022259820741497592,SMAP_L3_SM_P_E_20180210_R19240_001.h5
2018-02-16,65,0.25562473627237176,0.02718149100224682,SMAP_L3_SM_P_E_20180216_R19240_001.h5
2018-02-22,52,0.28787958736603075,0.02739613697535226,SMAP_L3_SM_P_E_20180222_R19240_001.h5
2018-02-28,0,,,SMAP_L3_SM_P_E_20180228_R19240_001.h5
2018-03-06,50,0.3402471280097961,0.042686122262977376,SMAP_L3_SM_P_E_20180306_R19240_001.h5
2018-03-12,80,0.3622466612607241,0.03729023233456189,SMAP_L3_SM_P_E_20180312_R19240_001.h5
2018-03-18,51,0.333124121614531,0.022480156668957713,SMAP_L3_SM_P_E_20180318_R19240_001.h5
2018-03-24,0,,,SMAP_L3_SM_P_E_20180324_R19240_001.h5
2018-03-30,70,0.233773358804839,0.02562402978433215,SMAP_L3_SM_P_E_20180330_R19240_001.h5
2018-04-11,49,0.23674372811706698,0.017970791567447922,SMAP_L3_SM_P_E_20180411_R19240_001.h5
2018-04-17,0,,,SMAP_L3_SM_P_E_20180417_R19240_001.h5
2018-04-23,66,0.17058613241621942,0.01945480828210859,SMAP_L3_SM_P_E_20180423_R19240_001.h5
2018-04-29,76,0.13963705399318746,0.017386221388997043,SMAP_L3_SM_P_E_20180429_R19240_001.h5
2018-05-05,0,,,SMAP_L3_SM_P_E_20180505_R19240_001.h5
2018-05-11,0,,,SMAP_L3_SM_P_E_20180511_R19240_001.h5
2018-05-17,58,0.20167823367077728,0.01609565314495207,SMAP_L3_SM_P_E_20180517_R19240_001.h5
2018-05-23,74,0.26893550439460856,0.022806963763704797,SMAP_L3_SM_P_E_20180523_R19240_001.h5
2018-05-29,47,0.237078920640844,0.04265869131596784,SMAP_L3_SM_P_E_20180529_R19240_001.h5
2018-06-04,0,,,SMAP_L3_SM_P_E_20180604_R19240_001.h5
2018-06-10,58,0.2582447420934151,0.022580308783028375,SMAP_L3_SM_P_E_20180610_R19240_001.h5
2018-06-22,17,0.1630302360829185,0.016290109023156665,SMAP_L3_SM_P_E_20180622_R19240_001.h5
2018-06-28,0,,,SMAP_L3_SM_P_E_20180628_R19240_001.h5
2018-07-04,54,0.2192937050152708,0.04721532922592693,SMAP_L3_SM_P_E_20180704_R19240_001.h5
2018-07-10,78,0.18417134689979064,0.023780882324371037,SMAP_L3_SM_P_E_20180710_R19240_001.h5
2018-07-16,49,0.2562519241960681,0.042978182260975765,SMAP_L3_SM_P_E_20180716_R19240_001.h5
2018-07-22,0,,,SMAP_L3_SM_P_E_20180722_R19240_001.h5
2018-07-28,60,0.19734955529371898,0.025952195137835612,SMAP_L3_SM_P_E_20180728_R19240_001.h5
2018-08-03,81,0.1967714230219523,0.031058086173671662,SMAP_L3_SM_P_E_20180803_R19240_001.h5
2018-08-09,49,0.18150516158464003,0.01595746175736294,SMAP_L3_SM_P_E_20180809_R19240_001.h5
2018-08-15,0,,,SMAP_L3_SM_P_E_20180815_R19240_001.h5
2018-08-21,64,0.18486564606428146,0.024445910142257676,SMAP_L3_SM_P_E_20180821_R19240_001.h5
2018-08-27,81,0.2620707588431276,0.02059398863557157,SMAP_L3_SM_P_E_20180827_R19240_001.h5
2018-09-02,42,0.29635988069432123,0.04220382769846679,SMAP_L3_SM_P_E_20180902_R19240_001.h5
2018-09-08,0,,,SMAP_L3_SM_P_E_20180908_R19240_001.h5
2018-09-14,65,0.19745373680041386,0.022631618459631284,SMAP_L3_SM_P_E_20180914_R19240_001.h5
