master,slave,path,Bperp,delta_days
S1A_IW_SLC__1SDV_20180413T051036_20180413T051103_021444_024ECD_F033,S1A_IW_SLC__1SDV_20180413T051101_20180413T051128_021444_024ECD_E7B3,22,0,0
S1A_IW_SLC__1SDV_20180413T051036_20180413T051103_021444_024ECD_F033,S1A_IW_SLC__1SDV_20180425T051037_20180425T051104_021619_025440_A781,22,175,12
S1A_IW_SLC__1SDV_20180413T051036_20180413T051103_021444_024ECD_F033,S1A_IW_SLC__1SDV_20180425T051102_20180425T051129_021619_025440_9075,22,175,12
S1A_IW_SLC__1SDV_20180413T051101_20180413T051128_021444_024ECD_E7B3,S1A_IW_SLC__1SDV_20180425T051037_20180425T051104_021619_025440_A781,22,175,11
S1A_IW_SLC__1SDV_20180413T051101_20180413T051128_021444_024ECD_E7B3,S1A_IW_SLC__1SDV_20180425T051102_20180425T051129_021619_025440_9075,22,175,12
S1B_IW_SLC__1SDV_20180419T051000_20180419T051028_010548_0133BF_9DC1,S1B_IW_SLC__1SDV_20180419T051026_20180419T051053_010548_0133BF_3A16,22,0,0
S1B_IW_SLC__1SDV_20180419T051000_20180419T051028_010548_0133BF_9DC1,S1B_IW_SLC__1SDV_20180501T051001_20180501T051029_010723_01395E_8FFA,22,175,12
S1B_IW_SLC__1SDV_20180419T051000_20180419T051028_010548_0133BF_9DC1,S1B_IW_SLC__1SDV_20180501T051026_20180501T051053_010723_01395E_C3A4,22,175,12
S1B_IW_SLC__1SDV_20180419T051026_20180419T051053_010548_0133BF_3A16,S1B_IW_SLC__1SDV_20180501T051001_20180501T051029_010723_01395E_8FFA,22,175,11
S1B_IW_SLC__1SDV_20180419T051026_20180419T051053_010548_0133BF_3A16,S1B_IW_SLC__1SDV_20180501T051026_20180501T051053_010723_01395E_C3A4,22,175,12
S1A_IW_SLC__1SDV_20180425T051037_20180425T051104_021619_025440_A781,S1A_IW_SLC__1SDV_20180425T051102_20180425T051129_021619_025440_9075,22,0,0
S1A_IW_SLC__1SDV_20180425T051037_20180425T051104_021619_025440_A781,S1A_IW_SLC__1SDV_20180507T051037_20180507T051104_021794_0259CC_00F4,22,175,12
S1A_IW_SLC__1SDV_20180425T051037_20180425T051104_021619_025440_A781,S1A_IW_SLC__1SDV_20180507T051102_20180507T051129_021794_0259CC_E700,22,175,12
S1A_IW_SLC__1SDV_20180425T051102_20180425T051129_021619_025440_9075,S1A_IW_SLC__1SDV_20180507T051037_20180507T051104_021794_0259CC_00F4,22,175,11
S1A_IW_SLC__1SDV_20180425T051102_20180425T051129_021619_025440_9075,S1A_IW_SLC__1SDV_20180507T051102_20180507T051129_021794_0259CC_E700,22,175,12
S1B_IW_SLC__1SDV_20180501T051001_20180501T051029_010723_01395E_8FFA,S1B_IW_SLC__1SDV_20180501T051026_20180501T051053_010723_01395E_C3A4,22,0,0
S1B_IW_SLC__1SDV_20180501T051001_20180501T051029_010723_01395E_8FFA,S1B_IW_SLC__1SDV_20180513T051001_20180513T051029_010898_013F08_56DB,22,175,12
S1B_IW_SLC__1SDV_20180501T051001_20180501T051029_010723_01395E_8FFA,S1B_IW_SLC__1SDV_20180513T051027_20180513T051054_010898_013F08_5EB9,22,175,12
S1B_IW_SLC__1SDV_20180501T051026_20180501T051053_010723_01395E_C3A4,S1B_IW_SLC__1SDV_20180513T051001_20180513T051029_010898_013F08_56DB,22,175,11
S1B_IW_SLC__1SDV_20180501T051026_20180501T051053_010723_01395E_C3A4,S1B_IW_SLC__1SDV_20180513T051027_20180513T051054_010898_013F08_5EB9,22,175,12
S1A_IW_SLC__1SDV_20180507T051037_20180507T051104_021794_0259CC_00F4,S1A_IW_SLC__1SDV_20180507T051102_20180507T051129_021794_0259CC_E700,22,0,0
S1A_IW_SLC__1SDV_20180507T051037_20180507T051104_021794_0259CC_00F4,S1A_IW_SLC__1SDV_20180519T051038_20180519T051105_021969_025F61_FD4B,22,175,12
S1A_IW_SLC__1SDV_20180507T051037_20180507T051104_021794_0259CC_00F4,S1A_IW_SLC__1SDV_20180519T051103_20180519T051130_021969_025F61_D65C,22,175,12
S1A_IW_SLC__1SDV_20180507T051102_20180507T051129_021794_0259CC_E700,S1A_IW_SLC__1SDV_20180519T051038_20180519T051105_021969_025F61_FD4B,22,175,11
S1A_IW_SLC__1SDV_20180507T051102_20180507T051129_021794_0259CC_E700,S1A_IW_SLC__1SDV_20180519T051103_20180519T051130_021969_025F61_D65C,22,175,12
S1B_IW_SLC__1SDV_20180513T051001_20180513T051029_010898_013F08_56DB,S1B_IW_SLC__1SDV_20180513T051027_20180513T051054_010898_013F08_5EB9,22,0,0
S1B_IW_SLC__1SDV_20180513T051001_20180513T051029_010898_013F08_56DB,S1B_IW_SLC__1SDV_20180525T051002_20180525T051029_011073_0144B8_9155,22,175,11
S1B_IW_SLC__1SDV_20180513T051001_20180513T051029_010898_013F08_56DB,S1B_IW_SLC__1SDV_20180525T051027_20180525T051054_011073_0144B8_2F58,22,175,12
S1B_IW_SLC__1SDV_20180513T051027_20180513T051054_010898_013F08_5EB9,S1B_IW_SLC__1SDV_20180525T051002_20180525T051029_011073_0144B8_9155,22,175,11
S1B_IW_SLC__1SDV_20180513T051027_20180513T051054_010898_013F08_5EB9,S1B_IW_SLC__1SDV_20180525T051027_20180525T051054_011073_0144B8_2F58,22,175,11
S1A_IW_SLC__1SDV_20180519T051038_20180519T051105_021969_025F61_FD4B,S1A_IW_SLC__1SDV_20180519T051103_20180519T051130_021969_025F61_D65C,22,0,0
S1A_IW_SLC__1SDV_20180519T051038_20180519T051105_021969_025F61_FD4B,S1A_IW_SLC__1SDV_20180531T051038_20180531T051105_022144_026502_054E,22,175,12
S1A_IW_SLC__1SDV_20180519T051038_20180519T051105_021969_025F61_FD4B,S1A_IW_SLC__1SDV_20180531T051103_20180531T051130_022144_026502_DEE1,22,175,12
S1A_IW_SLC__1SDV_20180519T051103_20180519T051130_021969_025F61_D65C,S1A_IW_SLC__1SDV_20180531T051038_20180531T051105_022144_026502_054E,22,175,11
S1A_IW_SLC__1SDV_20180519T051103_20180519T051130_021969_025F61_D65C,S1A_IW_SLC__1SDV_20180531T051103_20180531T051130_022144_026502_DEE1,22,175,12
S1B_IW_SLC__1SDV_20180525T051002_20180525T051029_011073_0144B8_9155,S1B_IW_SLC__1SDV_20180525T051027_20180525T051054_011073_0144B8_2F58,22,0,0
S1B_IW_SLC__1SDV_20180525T051002_20180525T051029_011073_0144B8_9155,S1B_IW_SLC__1SDV_20180606T051002_20180606T051029_011248_014A48_3B47,22,175,12
S1B_IW_SLC__1SDV_20180525T051002_20180525T051029_011073_0144B8_9155,S1B_IW_SLC__1SDV_20180606T051027_20180606T051054_011248_014A48_9392,22,175,12
S1B_IW_SLC__1SDV_20180525T051027_20180525T051054_011073_0144B8_2F58,S1B_IW_SLC__1SDV_20180606T051002_20180606T051029_011248_014A48_3B47,22,175,11
S1B_IW_SLC__1SDV_20180525T051027_20180525T051054_011073_0144B8_2F58,S1B_IW_SLC__1SDV_20180606T051027_20180606T051054_011248_014A48_9392,22,175,12
S1A_IW_SLC__1SDV_20180531T051038_20180531T051105_022144_026502_054E,S1A_IW_SLC__1SDV_20180531T051103_20180531T051130_022144_026502_DEE1,22,0,0
S1A_IW_SLC__1SDV_20180531T051038_20180531T051105_022144_026502_054E,S1A_IW_SLC__1SDV_20180612T051039_20180612T051106_022319_026A74_99CE,22,175,12
S1A_IW_SLC__1SDV_20180531T051038_20180531T051105_022144_026502_054E,S1A_IW_SLC__1SDV_20180612T051104_20180612T051131_022319_026A74_D2DA,22,175,12
S1A_IW_SLC__1SDV_20180531T051103_20180531T051130_022144_026502_DEE1,S1A_IW_SLC__1SDV_20180612T051039_20180612T051106_022319_026A74_99CE,22,175,11
S1A_IW_SLC__1SDV_20180531T051103_20180531T051130_022144_026502_DEE1,S1A_IW_SLC__1SDV_20180612T051104_20180612T051131_022319_026A74_D2DA,22,175,12
S1B_IW_SLC__1SDV_20180606T051002_20180606T051029_011248_014A48_3B47,S1B_IW_SLC__1SDV_20180606T051027_20180606T051054_011248_014A48_9392,22,0,0
S1B_IW_SLC__1SDV_20180606T051002_20180606T051029_011248_014A48_3B47,S1B_IW_SLC__1SDV_20180618T051003_20180618T051030_011423_014FAD_6F1A,22,175,12
S1B_IW_SLC__1SDV_20180606T051002_20180606T051029_011248_014A48_3B47,S1B_IW_SLC__1SDV_20180618T051028_20180618T051055_011423_014FAD_A179,22,175,12
S1B_IW_SLC__1SDV_20180606T051027_20180606T051054_011248_014A48_9392,S1B_IW_SLC__1SDV_20180618T051003_20180618T051030_011423_014FAD_6F1A,22,175,11
S1B_IW_SLC__1SDV_20180606T051027_20180606T051054_011248_014A48_9392,S1B_IW_SLC__1SDV_20180618T051028_20180618T051055_011423_014FAD_A179,22,175,12
S1A_IW_SLC__1SDV_20180612T051039_20180612T051106_022319_026A74_99CE,S1A_IW_SLC__1SDV_20180612T051104_20180612T051131_022319_026A74_D2DA,22,0,0
S1A_IW_SLC__1SDV_20180612T051039_20180612T051106_022319_026A74_99CE,S1A_IW_SLC__1SDV_20180624T051040_20180624T051107_022494_026FB0_295D,22,175,12
S1A_IW_SLC__1SDV_20180612T051039_20180612T051106_022319_026A74_99CE,S1A_IW_SLC__1SDV_20180624T051105_20180624T051132_022494_026FB0_B288,22,175,12
S1A_IW_SLC__1SDV_20180612T051104_20180612T051131_022319_026A74_D2DA,S1A_IW_SLC__1SDV_20180624T051040_20180624T051107_022494_026FB0_295D,22,175,11
S1A_IW_SLC__1SDV_20180612T051104_20180612T051131_022319_026A74_D2DA,S1A_IW_SLC__1SDV_20180624T051105_20180624T051132_022494_026FB0_B288,22,175,12
S1B_IW_SLC__1SDV_20180618T051003_20180618T051030_011423_014FAD_6F1A,S1B_IW_SLC__1SDV_20180618T051028_20180618T051055_011423_014FAD_A179,22,0,0
S1B_IW_SLC__1SDV_20180618T051003_20180618T051030_011423_014FAD_6F1A,S1B_IW_SLC__1SDV_20180630T050958_20180630T051026_011598_015522_DBDA,22,175,11
S1B_IW_SLC__1SDV_20180618T051003_20180618T051030_011423_014FAD_6F1A,S1B_IW_SLC__1SDV_20180630T051024_20180630T051051_011598_015522_D9C3,22,175,12
S1B_IW_SLC__1SDV_20180618T051028_20180618T051055_011423_014FAD_A179,S1B_IW_SLC__1SDV_20180630T050958_20180630T051026_011598_015522_DBDA,22,175,11
S1B_IW_SLC__1SDV_20180618T051028_20180618T051055_011423_014FAD_A179,S1B_IW_SLC__1SDV_20180630T051024_20180630T051051_011598_015522_D9C3,22,175,11
