Codice,Tipologia stazione,Provincia,Comune,Codice_GWB-PdG_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m
PC03-02,Pozzo,PC,GRAGNANO TREBBIENSE,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,541802,4983035,92.3,49,Fondo foro,1,39,48
PC04-01,Pozzo,PC,PIACENZA,IT082301ER-DQ2-CCI,Conoide Trebbia - confinato inferiore,550226,4985278,76.7,155,,3,108.8,153
PC05-02,Pozzo,PC,PIACENZA,IT082301ER-DQ2-CCI,Conoide Trebbia - confinato inferiore,553513,4985289,71.6,152.5,,3,125,150
PC07-00,Pozzo,PC,GRAGNANO TREBBIENSE,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,544823,4984661,81.5,64,,2,40,60
PC09-01,Pozzo,PC,CAORSO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,567937,4988928,43.5,133,,1,89,120
PC10-01,Pozzo,PC,MONTICELLI D'ONGINA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,572309,4992801,40.19,140,,3,67,136
PC11-02,Pozzo,PC,CASTELVETRO PIACENTINO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,578168,4991421,37.6,107,,1,87,96
PC12-01,Pozzo,PC,VILLANOVA SULL'ARDA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,578359,4986601,39.61,109,Fondo foro,1,93,96
PC13-00,Pozzo,PC,CORTEMAGGIORE,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,568819,4984090,53.25,86,Fondo foro,1,69.5,76.5
PC15-01,Pozzo,PC,GOSSOLENGO,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,548321,4983170,88.1,105,,1,67,103
PC17-00,Pozzo,PC,SAN GIORGIO PIACENTINO,IT080040ER-DQ1-CL,Conoide Nure - libero,558127,4978445,101.86,70,Fondo foro,1,62,70
PC20-00,Pozzo,PC,FIORENZUOLA D'ARDA,IT080330ER-DQ2-CCS,Conoide Arda - confinato superiore,571853,4979134,62.31,76.45,,4,18.5,73.6
PC21-03,Pozzo,PC,BESENZONE,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,575970,4981456,49.1,73,Fondo foro,1,62,71.5
PC23-02,Pozzo,PC,PONTENURE,IT080040ER-DQ1-CL,Conoide Nure - libero,561563,4982935,67,80,,3,47,78
PC23-05,Pozzo,PC,PONTENURE,IT080040ER-DQ1-CL,Conoide Nure - libero,561569,4979400,79.5,60,,2,25,59
PC23-06,Pozzo,PC,PONTENURE,IT080040ER-DQ1-CL,Conoide Nure - libero,561700,4979761,79,97,,1,59,63
PC26-02,Pozzo,PC,CARPANETO PIACENTINO,IT080322ER-DQ2-CCS,Conoide Chiavenna-Nure - confinato superiore,564593,4973084,110.5,92,,4,30,78.5
PC27-02,Pozzo,PC,FIORENZUOLA D'ARDA,IT080050ER-DQ1-CL,Conoide Arda - libero,570609,4975231,85,120,,3,48,114
PC28-00,Pozzo,PC,ALSENO,IT080330ER-DQ2-CCS,Conoide Arda - confinato superiore,576755,4975214,54,30,Fondo foro,1,24,28
PC30-03,Pozzo,PC,SAN GIORGIO PIACENTINO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,560035,4972595,132.5,43.5,Fondo foro,1,37,43
PC33-01,Pozzo,PC,ALSENO,IT080330ER-DQ2-CCS,Conoide Arda - confinato superiore,576995,4971934,73.8,39,,3,19,35
PC34-00,Pozzo,PC,ALSENO,IT080050ER-DQ1-CL,Conoide Arda - libero,571640,4970705,121.58,101,,4,30,95
PC36-00,Pozzo,PC,GRAGNANO TREBBIENSE,IT082301ER-DQ2-CCI,Conoide Trebbia - confinato inferiore,545036,4982629,87.88,130,Fondo foro,1,125,130
PC41-01,Pozzo,PC,CASTEL SAN GIOVANNI,IT080300ER-DQ2-CCS,Conoide Tidone-Luretta - confinato superiore,535351,4990174,70.8,32,Fondo foro,1,30,32
PC45-01,Pozzo,PC,SAN PIETRO IN CERRO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,574864,4985753,45.22,16,,,,
PC48-00,Pozzo,PC,ROTTOFRENO,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,547963,4989045,63.3,35,,1,84,110
PC55-01,Pozzo,PC,PODENZANO,IT080040ER-DQ1-CL,Conoide Nure - libero,554491,4980651,91.69,200,,,,
PC56-00,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,554675,4986794,62.03,102,,4,47,101.6
PC56-02,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,553310,4989082,56.4,116.5,,5,66.5,113.5
PC56-03,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,551663,4988893,59.6,94,,2,72,94
PC56-06,Pozzo,PC,PIACENZA,IT080040ER-DQ1-CL,Conoide Nure - libero,556118,4987070,57.7,160,,3,54.5,154
PC56-07,Pozzo,PC,PIACENZA,IT080040ER-DQ1-CL,Conoide Nure - libero,557993,4987826,52,103.3,,4,46.5,102
PC56-08,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,552523,4987217,64,103,,3,66,93
PC56-09,Pozzo,PC,PIACENZA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,561572,4986046,56.1,75,,3,41,73.5
PC56-10,Pozzo,PC,PIACENZA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,559545,4991988,50,106,,1,82,98
PC56-11,Pozzo,PC,PIACENZA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,559012,4989339,46.6,54,Fondo foro,1,40,50.5
PC63-01,Pozzo,PC,PIACENZA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,562514,4988071,48.9,81.7,,2,40,76.5
PC64-00,Pozzo,PC,PIACENZA,IT080040ER-DQ1-CL,Conoide Nure - libero,560601,4984310,67.14,114.5,,4,89,114.5
PC69-00,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,552041,4988752,61,111,,4,43,108
PC75-00,Pozzo,PC,RIVERGARO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,549945,4975082,153.8,156,,2,134,154
PC77-01,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,546273,4977835,137,107,,,,
PC80-00,Pozzo,PC,MONTICELLI D'ONGINA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,575399,4993161,38.41,68,Fondo foro,1,52.45,64.95
PC81-00,Pozzo,PC,PODENZANO,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,554375,4983243,75.39,97,,2,57,95
PC82-00,Pozzo,PC,BORGONOVO VAL TIDONE,IT080010ER-DQ1-CL,Conoide Tidone - libero,538911,4983568,100.8,101.5,,2,34,70
PC83-00,Pozzo,PC,BORGONOVO VAL TIDONE,IT080010ER-DQ1-CL,Conoide Tidone - libero,535349,4985113,105.7,97,,4,30,91
PC85-00,Pozzo,PC,GRAGNANO TREBBIENSE,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,542330,4980858,109.7,101,,1,45,57
PC86-00,Pozzo,PC,BORGONOVO VAL TIDONE,IT080300ER-DQ2-CCS,Conoide Tidone-Luretta - confinato superiore,540266,4984618,88,40,,,,
PC87-01,Pozzo,PC,GAZZOLA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,545997,4980073,102.6,105,,,,
PC88-00,Pozzo,PC,SARMATO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,538209,4990129,59,18.5,Fondo foro,1,16,18.5
PC89-00,Pozzo,PC,PONTE DELL'OLIO,IT085020ER-AV2-VA,Depositi vallate App. Trebbia-Nure-Arda,549899,4967923,215,35,,,,
PC90-00,Pozzo,PC,PIANELLO VAL TIDONE,IT085020ER-AV2-VA,Depositi vallate App. Trebbia-Nure-Arda,533539,4977204,170,11,,,,
PC91-01,Pozzo,PC,VIGOLZONE,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,551234,4972786,211,175,,4,107,169
PC94-01,Pozzo,PC,RIVERGARO,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,546517,4972735,135.5,12,,,,
PC95-00,Pozzo,PC,PODENZANO,IT080040ER-DQ1-CL,Conoide Nure - libero,553537,4977885,123,118,,2,60,100
PC96-00,Pozzo,PC,PODENZANO,IT080040ER-DQ1-CL,Conoide Nure - libero,557881,4982179,80.5,80,Fondo foro,1,65,80
PC97-00,Pozzo,PC,GOSSOLENGO,IT082301ER-DQ2-CCI,Conoide Trebbia - confinato inferiore,551468,4980393,96.8,200,,1,183,193
PC98-00,Pozzo,PC,CADEO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,567199,4976628,77,102,Fondo foro,1,87.5,100
PC99-00,Pozzo,PC,CASTELL’ARQUATO,IT080050ER-DQ1-CL,Conoide Arda - libero,569013,4967757,158,65,Fondo foro,1,51,57
PCA0-00,Pozzo,PC,CASTEL SAN GIOVANNI,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,535335,4988056,87,158,,,,
PCA2-00,Pozzo,PC,AGAZZANO,IT082300ER-DQ2-CCI,Conoide Tidone-Luretta - confinato inferiore,540084,4983319,87.4,94,,4,45,85
PC-F01-00,Pozzo,PC,SARMATO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,541032,4990346,60,6.1,,,,
PC-F03-00,Pozzo,PC,PIACENZA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,559271,4988654,46.5,7.2,,,,
PC-F05-00,Pozzo,PC,SAN PIETRO IN CERRO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,571874,4988422,41.9,4,,,,
PR03-01,Pozzo,PR,BUSSETO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,584189,4978451,40,100,,,,
PR04-01,Pozzo,PR,SORAGNA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,591204,4978826,37.3,161,,,,
PR05-00,Pozzo,PR,PARMA,IT080360ER-DQ2-CCS,Conoide Parma-Baganza - confinato superiore,606371,4961131,54.53,75.5,,5,32,75.5
PR06-01,Pozzo,PR,SISSA TRECASALI,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,598909,4982301,30,105,,,,
PR08-03,Pozzo,PR,COLORNO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,608780,4979630,26.9,45,,,,
PR09-02,Pozzo,PR,FIDENZA,IT080340ER-DQ2-CCS,Conoide Stirone-Parola - confinato superiore,583155,4972760,57.2,26,,,,
PR12-00,Pozzo,PR,SAN SECONDO PARMENSE,IT080350ER-DQ2-CCS,Conoide Taro - confinato superiore,596519,4972121,36.2,86,,1,35,39.7
PR19-01,Pozzo,PR,FIDENZA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,583719,4969761,67,175,Fondo foro,1,170,175
PR20-00,Pozzo,PR,FIDENZA,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,587029,4967231,73,97,,5,49.15,93.6
PR21-02,Pozzo,PR,FONTANELLATO,IT080350ER-DQ2-CCS,Conoide Taro - confinato superiore,590292,4970941,49,30,,,,
PR23-01,Pozzo,PR,FONTEVIVO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,593592,4966261,56,20,,,,
PR23-02,Piezometro,PR,FONTANELLATO,IT082352ER-DQ2-CCI,Conoide Taro-Parola - confinato inferiore,595949,4968921,46.5,166,Fondo foro,1,154,163
PR23-03,Piezometro,PR,FONTANELLATO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,595949,4968921,46.5,70,Fondo foro,1,58,67
PR23-04,Pozzo,PR,FONTEVIVO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,594520,4966495,54.3,14,,,,
PR25-00,Pozzo,PR,TORRILE,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,607779,4972291,30.2,46,Fondo foro,1,34,41
PR31-00,Pozzo,PR,FONTEVIVO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,592099,4965566,65.18,31.5,Fondo foro,1,25.5,31.5
PR32-00,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,604589,4959501,66.7,109,,5,45.5,105
PR33-00,Pozzo,PR,PARMA,IT080350ER-DQ2-CCS,Conoide Taro - confinato superiore,600299,4963056,56.6,64.4,,1,32,55
PR34-00,Pozzo,PR,PARMA,IT080360ER-DQ2-CCS,Conoide Parma-Baganza - confinato superiore,605319,4963221,49.9,55,,2,34,46
PR38-00,Pozzo,PR,COLLECCHIO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,596259,4961201,71,78,,2,53,78
PR45-01,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,600839,4953341,128.7,108,,9,45,102.5
PR47-01,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,605553,4953996,106,30,,,,
PR54-01,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,607354,4958917,60,103.3,,9,42,102.5
PR55-01,Pozzo,PR,PARMA,IT080360ER-DQ2-CCS,Conoide Parma-Baganza - confinato superiore,611838,4960151,45.8,93,,,,
PR57-02,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,609058,4953996,91,40,,,,
PR61-02,Pozzo,PR,MONTECHIARUGOLO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,608593,4949252,130,28,,,,
PR61-05,Pozzo,PR,MONTECHIARUGOLO,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,606648,4948801,147,40,Fondo foro,1,35,40
PR69-00,Pozzo,PR,MONTECHIARUGOLO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,611028,4954246,83.69,40,,2,9,26
PR76-00,Pozzo,PR,PARMA,IT080360ER-DQ2-CCS,Conoide Parma-Baganza - confinato superiore,608748,4960721,48.5,86,,6,23.5,82.7
PR77-00,Pozzo,PR,FONTANELLATO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,590991,4966781,61.7,93,,6,33,86.5
PR90-03,Pozzo,PR,TRAVERSETOLO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,609788,4944321,165,50,Fondo foro,1,32,47
PR93-02,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,606458,4956181,89,30,,,,
PR94-00,Pozzo,PR,COLLECCHIO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,595642,4956836,103.5,25,,,,
PR99-00,Piezometro,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,601967,4950366,149.1,175,,,,
PRA0-00,Pozzo,PR,COLLECCHIO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,591559,4952941,117.5,10,,,,
PRA1-00,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,602713,4950961,143.5,30,,,,
PRA2-00,Pozzo,PR,SALA BAGANZA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,596597,4949571,194,10.3,,,,
PRA5-01,Pozzo,PR,ROCCABIANCA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,592872,4983796,32,18,,,,
PRA5-02,Pozzo,PR,ROCCABIANCA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,593275,4984280,32,30,,,,
PRA6-00,Pozzo,PR,SORBOLO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,614301,4972981,25,30,,,,
PRA7-00,Pozzo,PR,COLORNO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,611088,4974251,25.5,110,,,,
PRB3-00,Pozzo,PR,NOCETO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,593423,4962701,74.6,70.15,,2,15,65
PRB4-00,Piezometro,PR,FONTANELLATO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,591053,4966331,63.5,45,,1,8,45
PRB5-00,Pozzo,PR,SOLIGNANO,IT085030ER-AV2-VA,Depositi vallate App. Taro-Enza-Tresinaro,584579,4947421,158,11.5,,,,
PRB8-00,Pozzo,PR,PARMA,IT082360ER-DQ2-CCI,Conoide Parma-Baganza - confinato inferiore,611468,4957571,58,111.5,,,,
PRB9-00,Pozzo,PR,PARMA,IT082360ER-DQ2-CCI,Conoide Parma-Baganza - confinato inferiore,609420,4960060,51,150,,3,103,147
PRC0-00,Pozzo,PR,PARMA,IT082352ER-DQ2-CCI,Conoide Taro-Parola - confinato inferiore,597409,4963096,61.5,110,,,,
PR-F01-00,Pozzo,PR,POLESINE ZIBELLO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,591029,4984941,32.5,4.37,,,,
PR-F01-01,Pozzo,PR,POLESINE ZIBELLO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,591454,4984386,32,4.55,,,,
PR-F06-00,Pozzo,PR,PARMA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,604719,4970511,36.7,6.81,,,,
PR-F07-00,Pozzo,PR,SAN SECONDO PARMENSE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,598925,4974770,36.4,8.22,,,,
PR-F09-01,Pozzo,PR,SORAGNA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,587184,4974510,49.3,6.57,,,,
PR-F10-01,Pozzo,PR,BUSSETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,579735,4977078,48.9,6.52,,,,
PR-F11-00,Pozzo,PR,FIDENZA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,586763,4968685,65.8,6.79,,,,
RA03-00,Pozzo,RA,MASSALOMBARDA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,724418,4924919,11.3,102,Fondo foro,1,95,102
RA05-00,Pozzo,RA,BAGNACAVALLO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,741015,4930369,5,108,Fondo foro,1,101.72,106.72
RA08-00,Pozzo,RA,FAENZA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,738690,4915703,15,96,Fondo foro,1,87.56,96
RA09-00,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,758180,4941791,0.43,273,,1,142,150
RA09-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,758227,4940523,0.43,150,Fondo foro,1,142,150
RA12-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,755883,4938447,1.57,155,,,,
RA13-02,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,756201,4911624,2.08,215,Fondo foro,1,206,215
RA14-01,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,745922,4913833,7.3,248,Fondo foro,1,242,248
RA15-00,Pozzo,RA,CASTEL BOLOGNESE,IT080522ER-DQ2-CC,Conoide Senio - confinato,723585,4913863,29.82,31.74,,1,17.61,21
RA17-01,Pozzo,RA,FAENZA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,730858,4912855,22,106,Fondo foro,1,100,106
RA18-00,Pozzo,RA,FAENZA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,726769,4909433,38.2,67,Fondo foro,1,57,67
RA21-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,766702,4912271,1.65,370,,,,
RA24-00,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,760513,4938208,1.2,265.3,Fondo foro,1,240.8,265.3
RA24-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,760474,4936523,0.7,183.5,,,,
RA29-00,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,760044,4932212,0.7,251,Fondo foro,1,232.92,250.87
RA30-00,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,752680,4930373,1.6,230.08,Fondo foro,1,218,230.08
RA33-00,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,761243,4922887,1.5,214,Fondo foro,1,206.3,213.6
RA33-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,761244,4922912,0.5,205,Fondo foro,1,187,205
RA34-00,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,755369,4918940,2.9,207.5,Fondo foro,1,197.18,207.41
RA34-02,Pozzo,RA,RAVENNA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,754282,4919291,3.9,120,,,,
RA35-00,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,750390,4917832,4.9,237,Fondo foro,1,223,236.91
RA35-01,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,747923,4916849,8.5,230,,,,
RA36-00,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,763639,4917210,0.66,280,Fondo foro,1,265,280
RA36-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,761527,4918363,0.4,180,,,,
RA38-00,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,759174,4907496,4.8,285,,2,256,282
RA39-00,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,754064,4906316,9.55,180,Fondo foro,1,173,177
RA41-02,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,764107,4912914,1.7,318.68,Fondo foro,1,286,318
RA42-01,Pozzo,RA,RAVENNA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,755862,4924811,2.2,150,,,,
RA42-02,Pozzo,RA,RAVENNA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,750215,4924945,2.1,180,,,,
RA44-00,Pozzo,RA,CONSELICE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,722038,4933143,9,327,,,,
RA45-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,751774,4936004,2.89,271,,,,
RA47-00,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,746633,4927545,4.1,325.2,Fondo foro,1,317,325.2
RA47-02,Pozzo,RA,RAVENNA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,745830,4928479,3.8,130,Fondo foro,1,110,120
RA48-01,Pozzo,RA,FAENZA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,737141,4909916,19,281.28,,6,75.77,281.28
RA48-02,Pozzo,RA,RUSSI,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,742338,4919132,9.6,253,Fondo foro,1,242,252
RA49-00,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,752304,4925658,1.1,229,Fondo foro,1,205,229
RA53-04,Pozzo,RA,CERVIA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,765442,4909103,2,120,Fondo foro,1,114,120
RA54-01,Pozzo,RA,CERVIA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,766736,4905970,1.3,350,Fondo foro,1,345,350
RA54-02,Pozzo,RA,CERVIA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,766938,4906596,1.2,280,,,,
RA54-03,Pozzo,RA,CERVIA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,763492,4906179,0.9,240,,,,
RA54-04,Pozzo,RA,CERVIA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,766420,4906148,0.2,140,,,,
RA55-02,Pozzo,RA,COTIGNOLA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,729890,4918790,18,300,,3,69.5,300
RA58-00,Pozzo,RA,FUSIGNANO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,735531,4928175,8.7,460,,4,236,451
RA59-01,Pozzo,RA,BAGNACAVALLO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,737143,4921852,9,408.1,Fondo foro,1,381.2,408.1
RA60-01,Pozzo,RA,ALFONSINE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,735399,4932471,4.76,250,,,,
RA66-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,757991,4912838,0.7,150,,,,
RA67-00,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,747675,4921574,4.3,275,,,,
RA67-01,Pozzo,RA,RAVENNA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,747277,4920444,2.3,236,,,,
RA71-00,Pozzo,RA,CONSELICE,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,726046,4937271,4.95,225,,,,
RA73-00,Pozzo,RA,CERVIA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,769981,4902222,2,180,,,,
RA73-01,Pozzo,RA,CERVIA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,768984,4904266,1.5,242,,,,
RA76-03,Pozzo,RA,COTIGNOLA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,734106,4919319,16,356,,,,
RA77-00,Pozzo,RA,CASTEL BOLOGNESE,IT080220ER-DQ1-CL,Conoide Senio - libero,722887,4911491,39.84,37.2,Fondo foro,1,29,35.2
RA78-00,Pozzo,RA,FAENZA,IT080230ER-DQ1-CL,Conoide Lamone - libero,730747,4908299,33,45,Fondo foro,1,35,44.88
RA79-00,Pozzo,RA,SOLAROLO,IT080522ER-DQ2-CC,Conoide Senio - confinato,726558,4915324,24.83,300,,,,
RA80-01,Pozzo,RA,RAVENNA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,748414,4919186,2.5,115,Fondo foro,1,103,115
