Codice,Tipologia stazione,Provincia,Comune,Codice_GWB-PdG_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m
BO62-01,Pozzo,BO,MEDICINA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,710530,4929431,19.9,259,,2,177,245
BO65-00,Pozzo,BO,IMOLA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,717206,4926821,17.34,235,Fondo foro,1,221,235
BO66-00,Pozzo,BO,DOZZA,IT082492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,710921,4920769,43.2,190,,2,96,189
BO67-02,Pozzo,BO,IMOLA,IT080510ER-DQ2-CCS,Conoide Santerno - confinato superiore,718087,4921334,23.4,59,Fondo foro,1,54,58
BO68-00,Pozzo,BO,DOZZA,IT082492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,709768,4918965,59.7,196.4,Fondo foro,1,188.9,196.4
BO69-00,Pozzo,BO,IMOLA,IT082510ER-DQ2-CCI,Conoide Santerno - confinato inferiore,717196,4917436,33.2,101,,4,53,98.9
BO70-01,Pozzo,BO,DOZZA,IT082492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,710050,4918123,67,201,,4,93,180
BO71-01,Pozzo,BO,IMOLA,IT080210ER-DQ1-CL,Conoide Santerno - libero,715791,4916868,42,97,,2,54,97
BO72-00,Pozzo,BO,IMOLA,IT082510ER-DQ2-CCI,Conoide Santerno - confinato inferiore,720981,4915871,31.2,62,,4,47,61
BO73-00,Pozzo,BO,IMOLA,IT080660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,719825,4912888,58.8,97,,,,
BO75-00,Pozzo,BO,CASTENASO,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,692566,4929401,49.17,104,,6,52.5,97.5
