Prov,Codice,Tipologia stazione,Comune,Codice_GWB_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m,Uso
BO,BO-F13-00,Pozzo,CASTENASO,9015ER-DQ1-FPF,Freatico di pianura fluviale,695284,4934008,34.5,7.65,,,,,Domestico
BO,BO-F15-00,Pozzo,CASTEL GUELFO DI BOLOGNA,9015ER-DQ1-FPF,Freatico di pianura fluviale,711231,4923429,37,6.3,,,,,Irriguo
BO,BO-F16-00,Pozzo,IMOLA,9015ER-DQ1-FPF,Freatico di pianura fluviale,715642,4923009,27.6,10,,,,,Irriguo
BO,BO-F18-00,Pozzo,MORDANO,9015ER-DQ1-FPF,Freatico di pianura fluviale,724554,4920253,19.7,7.5,,,,,Irriguo
BO,BOF2-01,Pozzo,CASTELLO D'ARGILE,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,682666,4952366,19.2,100,,,,,Industriale
BO,BO-F21-00,Pozzo,BOLOGNA,9015ER-DQ1-FPF,Freatico di pianura fluviale,678805,4934906,36.7,7.4,,,,,Irriguo
BO,BOF3-00,Pozzo,OZZANO DELL'EMILIA,0482ER-DQ2-CC,Conoide Quaderna - confinato,700760,4926540,39,80,,,,,Irriguo
BO,BOF3-01,Pozzo,OZZANO DELL'EMILIA,0482ER-DQ2-CC,Conoide Quaderna - confinato,701768,4926171,37.5,75,,,,,Irriguo
BO,BOF6-00,Pozzo,ZOLA PREDOSA,0160ER-DQ1-CL,Conoide Reno-Lavino - libero,677832,4929734,64.5,131.9,,,90.3,130.85,Industriale
BO,BOF7-00,Piezometro,BENTIVOGLIO,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,691203,4942161,18.7,80,,2,41,74,Monitoraggio
BO,BOF8-00,Piezometro,BOLOGNA,0442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,682966,4931939,39.19,60,Fondo foro,1,50,60,Monitoraggio
BO,BOF9-00,Piezometro,CASTELLO D'ARGILE,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,680802,4950302,19,200,,1,100,130,Monitoraggio
BO,BOG0-00,Piezometro,IMOLA,0210ER-DQ1-CL,Conoide Santerno - libero,718555,4915467,36.5,183.5,Fondo foro,1,154,183.5,Monitoraggio
BO,BOH0-00,Pozzo,SAN LAZZARO DI SAVENA,0192ER-DQ1-CL,Conoide Zena-Idice - libero,692784,4924110,79,51,,,,,Irriguo
BO,BOH1-00,Pozzo,S. LAZZARO,0192ER-DQ1-CL,Conoide Zena-Idice - libero,694780,4924511,71,100,,,,,Irriguo
BO,BOH2-00,Pozzo,DOZZA,0660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,709871,4917220,76,16,,,,,Irriguo
BO,BOH2-01,Pozzo,DOZZA,0660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,709980,4917172,76,15,,,,,Irriguo
BO,BOK1-00,Pozzo,CASTEL S. PIETRO TERME,0200ER-DQ1-CL,Conoide Sillaro - libero,706731,4917663,84.5,14,,,,,Domestico
BO,BOK2-00,Pozzo,CASTEL S. PIETRO TERME,0200ER-DQ1-CL,Conoide Sillaro - libero,708077,4920226,59.5,80,,,,,Irriguo
BO,BOK3-00,Pozzo,VALSAMOGGIA,0420ER-DQ2-CCS,Conoide Samoggia - confinato superiore,672484,4936180,37,30,Fondo foro,1,20,25,Irriguo
BO,BOK5-00,Pozzo,MEDICINA,0492ER-DQ2-CCS,Conoide Sillaro-Sellustra - confinato superiore,709366,4927310,28,28,,,,,Irriguo
BO,BOK9-00,Pozzo,MINERBIO,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,696947,4942912,18,87,,2,75,86.5,Irriguo
FC,FC01-00,Pozzo,FORLI',0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,745412,4902354,22,176,,2,116.4,166,Acquedottistico
FC,FC02-00,Pozzo,FORLI',0540ER-DQ2-CCS,Conoide Ronco-Montone - confinato superiore,737408,4900953,39.1,30,,,,,Domestico
FC,FC03-02,Pozzo,FORLI',2540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,742205,4898227,41,44,Fondo foro,1,38,44,Industriale
FC,FC04-00,Pozzo,FORLIMPOPOLI,0540ER-DQ2-CCS,Conoide Ronco-Montone - confinato superiore,749779,4897241,31,41.9,,,,,Non in uso
FC,FC06-02,Pozzo,CESENA,0550ER-DQ2-CCS,Conoide Savio - confinato superiore,757142,4894783,33.5,131.5,,4,52.5,122.4,Acquedottistico
FC,FC06-03,Pozzo,CESENA,0550ER-DQ2-CCS,Conoide Savio - confinato superiore,757656,4894146,35,71,Fondo foro,1,60.27,66.07,Acquedottistico
FC,FC07-02,Pozzo,GAMBETTOLA,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,769221,4889764,20.7,40,Fondo foro,1,36,40,Irriguo
FC,FC12-00,Pozzo,FORLI',2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,745334,4908329,17.03,200,Fondo foro,1,199,200,Non in uso
FC,FC13-00,Pozzo,FORLI',2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,742537,4904150,23.46,150,Fondo foro,1,149,150,Non in uso
FC,FC14-02,Pozzo,FORLI',2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,748563,4900097,24.5,170.3,Fondo foro,1,156.9,160.3,Acquedottistico
FC,FC16-01,Pozzo,SAVIGNANO SUL RUBICONE,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,775163,4896146,1,218,,2,90,218,Irriguo
FC,FC18-00,Pozzo,CESENATICO,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,769089,4894534,11.2,107,,,,,Non in uso
FC,FC19-00,Pozzo,FORLI',2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,741051,4909431,17,300,Fondo foro,1,278.2,282.6,Non in uso
FC,FC19-02,Pozzo,FORLI',0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,739672,4906371,19.3,70,Fondo foro,1,65,70,Irriguo
FC,FC19-03,Pozzo,FORLI',0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,741133,4907692,16,76,Fondo foro,1,73,76,Irriguo
FC,FC20-00,Pozzo,FORLI',2540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,741466,4901290,29.7,108.5,Fondo foro,1,101,108.5,Acquedottistico
FC,FC22-00,Pozzo,FORLI',0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,749384,4904116,19.7,200,,,,,Non in uso
FC,FC25-00,Pozzo,CESENA,0550ER-DQ2-CCS,Conoide Savio - confinato superiore,765677,4896373,12.4,88.9,Fondo foro,1,84,88,Zootecnico
FC,FC27-00,Pozzo,CESENA,0550ER-DQ2-CCS,Conoide Savio - confinato superiore,759087,4897759,24.3,90,,,,,Irriguo
FC,FC28-03,Pozzo,CESENA,0270ER-DQ1-CL,Conoide Savio - libero,755996,4889685,51.6,23,,,,,Industriale
FC,FC41-00,Pozzo,CESENA,0550ER-DQ2-CCS,Conoide Savio - confinato superiore,762976,4897161,14.5,30,,,,,Irriguo
FC,FC43-00,Pozzo,GATTEO,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,772727,4894282,6,182,Fondo foro,1,171,182,Industriale
FC,FC50-02,Pozzo,FORLI',2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,745193,4901314,22,162.12,,1,140.42,154.12,Acquedottistico
FC,FC52-00,Pozzo,FORLI',2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,754245,4901885,16,256,Fondo foro,1,238,256,Industriale
FC,FC53-00,Pozzo,FORLIMPOPOLI,2540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,749482,4897978,27,400,,4,25,345,Industriale
FC,FC56-00,Pozzo,CESENA,0550ER-DQ2-CCS,Conoide Savio - confinato superiore,760890,4901578,12,89,,,,,Irriguo
FC,FC57-03,Pozzo,GAMBETTOLA,0565ER-DQ2-CCS,Conoide Pisciatello-Rubicone-Uso - confinato superiore,765900,4890320,32,50,Fondo foro,1,31.4,45.2,Industriale
FC,FC70-00,Pozzo,SAN MAURO PASCOLI,0590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,775377,4889943,15,40,,,,,Irriguo
FC,FC71-00,Piezometro,FORLI',2540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,741252,4901195,30,141.5,Fondo foro,1,132.5,141.5,Monitoraggio
FC,FC73-00,Piezometro,FORLI',2540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,744374,4897325,35,56,Fondo foro,1,38,50,Monitoraggio
FC,FC77-00,Piezometro,FORLI',2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,751113,4901473,20,128,Fondo foro,1,120,128,Monitoraggio
FC,FC79-01,Pozzo,BERTINORO,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,754406,4899487,27,70,,1,24,27,Irriguo
FC,FC80-02,Pozzo,CESENA,0550ER-DQ2-CCS,Conoide Savio - confinato superiore,757412,4895571,29,83,Fondo foro,1,76,78,Industriale
FC,FC80-03,Pozzo,CESENA,0550ER-DQ2-CCS,Conoide Savio - confinato superiore,757312,4895953,28,70,Fondo foro,1,63,65,Industriale
FC,FC81-03,Pozzo,CESENATICO,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,770077,4900261,0.3,99,,,,,Irriguo
FC,FC81-04,Pozzo,CESENATICO,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,772420,4898589,2.5,105,,,,,Non in uso
