station_code,date,piezometry_m,depth_to_water_m,measurement_type,station_type,province,municipality,gwb_code,gwb_name,x_utm_etrs89,y_utm_etrs89,ground_elevation_m,well_depth_m,filter_position,n_filters,filter_start_m,filter_end_m,lon,lat,use
BO-F04-00,2018-10-16,9.95,2.35,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2019-04-02,10.32,1.98,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2019-09-03,9.87,2.43,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2019-11-25,10.50,1.80,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2020-06-04,9.95,2.35,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2020-09-29,9.09,3.21,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2021-04-29,9.98,2.32,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2021-10-07,8.80,3.50,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2022-04-12,8.90,3.40,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2022-07-06,9.40,2.90,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2022-10-13,8.72,3.58,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2023-01-18,8.97,3.33,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2023-04-13,9.46,2.84,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2023-07-10,10.05,2.25,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2023-10-30,9.02,3.28,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2024-02-08,9.41,2.89,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2024-05-09,9.88,2.42,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2024-07-24,9.52,2.78,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2024-10-24,10.08,2.22,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F07-00,2016-10-06,17.60,0.50,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
BO-F07-00,2017-03-29,16.73,1.37,manual,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,11.2301238711,44.6721257244,
