station_code,station_type,province,municipality,gwb_code,gwb_name,x_utm_etrs89,y_utm_etrs89,ground_elevation_m,well_depth_m,filter_position,n_filters,filter_start_m,filter_end_m,source_type,lon,lat,metadata_source,use
BO83-00,Pozzo,BO,GALLIERA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,690975,4958871,13.77,190.0,,,,,manual,11.4129166974,44.7577378195,manual,
BO84-01,Pozzo,BO,CASTEL SAN PIETRO TERME,IT080492ER-DQ2-CCS,Conoide Sillaro-Sellustra - confinato superiore,706413,4922717,51.2,20.0,,,,,manual,11.5932687025,44.4283085926,manual,
BO87-01,Pozzo,BO,CALDERARA DI RENO,IT082442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,680579,4938855,25.0,,,,,,manual,11.2746162386,44.5803864231,manual,
BO88-02,Pozzo,BO,ZOLA PREDOSA,IT080160ER-DQ1-CL,Conoide Reno-Lavino - libero,676914,4928322,77.0,101.93,,3.0,29.07,99.7,manual,11.2248737438,44.4865429365,manual,
BO89-00,Pozzo,BO,ZOLA PREDOSA,IT082442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,674322,4930012,73.8,226.3,,8.0,106.78,223.8,manual,11.1928705844,44.5023765525,manual,
BO92-00,Pozzo,BO,ANZOLA EMILIA,IT082420ER-DQ2-CCI,Conoide Samoggia - confinato inferiore,672582,4936972,35.72,150.0,,2.0,88.5,147.0,manual,11.1733267224,44.5654080376,manual,
BO95-00,Pozzo,BO,BUDRIO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,702423,4935153,23.5,486.0,,3.0,246.0,476.0,manual,11.5480573332,44.5412827717,manual,
BO99-00,Pozzo,BO,GRANAROLO DELL'EMILIA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,691566,4935651,29.8,213.0,,3.0,88.82,212.75,manual,11.4117007494,44.548728504,manual,
BOA5-00,Pozzo,BO,CASTENASO,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,695616,4930400,39.01,159.0,,2.0,61.0,74.5,manual,11.4606512623,44.5004114728,manual,
BOA6-01,Pozzo,BO,DOZZA,IT082492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,711138,4917725,68.4,165.0,,,,,manual,11.6505392983,44.3820517848,manual,
BOA7-00,Pozzo,BO,MOLINELLA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,714286,4942901,7.3,190.0,,1.0,175.0,183.75,manual,11.7004507469,44.6075297829,manual,
BOB3-00,Pozzo,BO,CREVALCORE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,672436,4955556,15.87,100.0,,,,,manual,11.1777391437,44.732624444,manual,
BOB8-00,Pozzo,BO,CREVALCORE,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,670194,4959181,19.21,80.0,Fondo foro,1.0,70.0,76.0,manual,11.1506538833,44.7657711352,manual,
BOE8-00,Pozzo,BO,VALSAMOGGIA,IT080150ER-DQ1-CL,Conoide Samoggia - libero,667087,4928063,100.0,21.0,,,,,manual,11.1012906617,44.4865528144,manual,
BOE9-00,Pozzo,BO,BOLOGNA,IT080160ER-DQ1-CL,Conoide Reno-Lavino - libero,678075,4933190,44.9,68.0,Fondo foro,1.0,64.0,68.0,manual,11.241141682,44.5300492804,manual,
BOE9-01,Pozzo,BO,BOLOGNA,IT080160ER-DQ1-CL,Conoide Reno-Lavino - libero,678135,4933504,41.7,70.0,,,,,manual,11.2420046485,44.532859135,manual,
BO-F01-00,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,manual,11.2352601279,44.600276082,manual,
BO-F02-00,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,manual,11.2934049112,44.6142018113,manual,
BO-F04-00,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,manual,11.5127261959,44.6695853263,manual,
BO-F07-00,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,676768,4948948,18.1,7.0,,,,,manual,11.2301238711,44.6721257244,manual,
BO-F08-00,Pozzo,BO,ARGELATO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,684902,4947067,21.2,6.7,,,,,manual,11.3319816123,44.6531568435,manual,
BO-F11-00,Pozzo,BO,MOLINELLA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,705857,4940727,14.3,7.2,,,,,manual,11.5934679961,44.5904397099,manual,
BO-F12-00,Pozzo,BO,CASTENASO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699279,4932056,31.0,6.65,,,,,manual,11.5073234095,44.5143040328,manual,
BO-F13-00,Pozzo,BO,CASTENASO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,695284,4934008,34.5,7.65,,,,,manual,11.4578434616,44.5329531364,manual,
BO-F15-00,Pozzo,BO,CASTEL GUELFO DI BOLOGNA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,711231,4923429,37.0,6.3,,,,,manual,11.654025749,44.4333219062,manual,
BO-F16-00,Pozzo,BO,IMOLA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,715642,4923009,27.6,10.0,,,,,manual,11.7092124411,44.4282442175,manual,
BO-F18-00,Pozzo,BO,MORDANO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,724554,4920253,19.7,7.5,,,,,manual,11.8198537826,44.4007530321,manual,
BOF2-01,Pozzo,BO,CASTELLO D'ARGILE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,682666,4952366,19.2,100.0,,,,,manual,11.3056945623,44.701394279,manual,
BO-F21-00,Pozzo,BO,BOLOGNA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,678805,4934906,36.7,7.4,,,,,manual,11.2509168933,44.5453053083,manual,
BOF3-00,Pozzo,BO,OZZANO DELL'EMILIA,IT080482ER-DQ2-CC,Conoide Quaderna - confinato,700760,4926540,39.0,80.0,,,,,manual,11.5237977354,44.4642827891,manual,
BOF3-01,Pozzo,BO,OZZANO DELL'EMILIA,IT080482ER-DQ2-CC,Conoide Quaderna - confinato,701768,4926171,37.5,75.0,,,,,manual,11.5363134152,44.4606834153,manual,
BOF6-00,Pozzo,BO,ZOLA PREDOSA,IT080160ER-DQ1-CL,Conoide Reno-Lavino - libero,677832,4929734,64.5,131.9,,5.0,90.3,130.85,manual,11.2368955317,44.4990196804,manual,
BOF7-00,Piezometro,BO,BENTIVOGLIO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,691203,4942161,18.7,80.0,,2.0,41.0,74.0,manual,11.4095532775,44.6073799188,manual,
BOF8-00,Piezometro,BO,BOLOGNA,IT080442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,682966,4931939,39.19,60.0,Fondo foro,1.0,50.0,60.0,manual,11.3022044794,44.5175719521,manual,
BOF9-00,Piezometro,BO,CASTELLO D'ARGILE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,680802,4950302,19.0,200.0,,1.0,100.0,130.0,manual,11.2814555925,44.6833005099,manual,
BOG0-00,Piezometro,BO,IMOLA,IT080210ER-DQ1-CL,Conoide Santerno - libero,718555,4915467,36.5,183.5,Fondo foro,1.0,154.0,183.5,manual,11.7425965237,44.3595488655,manual,
